Ticker,Date,Open,High,Low,Close,Volume,Daily_Return,MA20,MA50,Volatility_20D
AAPL,2025-06-24,201.78944331230142,202.63609053842802,199.40888822531906,199.5084991455078,54064000,,,,
AAPL,2025-06-25,200.6539381013163,202.8651666655851,199.82721614273908,200.7635040283203,39525700,0.6290483303657002,,,
AAPL,2025-06-26,200.63404307360597,201.8392684520338,198.67184150130464,200.20574951171875,50799100,-0.2778166875005761,,,
AAPL,2025-06-27,201.09222774816857,202.41697405518968,199.20969672208463,200.28543090820312,73188600,0.03979975434207361,,,
AAPL,2025-06-30,201.21175129212304,206.570497066428,198.47261792694385,204.35926818847656,91912800,2.0340157852722696,,,
AAPL,2025-07-01,205.85332972802502,209.35942450018746,205.3254252695324,206.99879455566406,78788900,1.2916107943551136,,,
AAPL,2025-07-02,208.08449026524102,212.49697770796604,207.31752868499885,211.6005401611328,67941800,2.223078455769123,,,
AAPL,2025-07-03,211.31168447150716,213.80180573654258,210.97303162710094,212.70616149902344,34955800,0.5225040243511225,,,
AAPL,2025-07-07,211.83958469799765,215.37555986284275,207.97492690746134,209.12037658691406,50229000,-1.6857926854769723,,,
AAPL,2025-07-08,209.26980118177752,210.59453234535175,207.62631199643187,209.18014526367188,42848900,0.028580991356896845,,,
AAPL,2025-07-09,208.70202548866368,210.49491569520316,206.40115605631001,210.3056640625,48749400,0.5380619644419049,,,
AAPL,2025-07-10,209.67817732396114,212.63644276910486,209.20007826975964,211.5706787109375,44443600,0.6015124005702255,,,
AAPL,2025-07-11,209.73792710960444,211.29176024279,209.03072603053,210.32559204101562,39765800,-0.5884967980950728,,,
AAPL,2025-07-14,209.10046017794556,210.0765986782557,206.71990480407712,207.79563903808594,38840100,-1.2028745424552567,,,
AAPL,2025-07-15,208.39325734338402,211.05270487364396,208.09443976951917,208.28369140625,42296300,0.2348713237791289,,,
AAPL,2025-07-16,209.4689902412225,211.5606828488181,207.8155461810567,209.3295440673828,47490500,0.5021289252517214,,,
AAPL,2025-07-17,209.7379389650813,210.9630743588066,208.7618004967043,209.1901092529297,48068100,-0.06661019354642361,,,
AAPL,2025-07-18,210.03674740882613,210.95311022715865,208.87137245947412,210.34552001953125,48974600,0.5523257149813832,,,
AAPL,2025-07-21,211.2618775331451,214.92732845073886,210.7937335563828,211.64036560058594,51377400,0.6155802989930459,,,
